blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters,is_non_residential,name_formatted,address_formatted
20,RAFFLES AVENUE,39805,NS SQUARE,1.28866180924693,103.858941046991,new_building,,,,,False,20 Raffles Avenue,"20 Raffles Avenue, Singapore 39805"
5,DOVER LANE,139685,UNITED MEDICARE RESIDENCE (DOVER),1.31019042813507,103.77249758026,new_building,,,,,False,5 Dover Lane,"5 Dover Lane, Singapore 139685"
132,BUKIT MERAH VIEW,150132,NIL,1.28556728658591,103.824066457707,new_building,,,,,False,132 Bukit Merah View,"132 Bukit Merah View, Singapore 150132"
138,ALEXANDRA ROAD,150138,ALEXANDRA PEAKS,1.29141613670848,103.819638088536,new_building,,,,,False,138 Alexandra Road,"138 Alexandra Road, Singapore 150138"
144,REDHILL CLOSE,150144,REDHILL PEAKS,1.28508341619995,103.817148639415,new_building,,,,,False,144 Redhill Close,"144 Redhill Close, Singapore 150144"
145,REDHILL CLOSE,150145,REDHILL PEAKS,1.28462348818001,103.8170793221,new_building,,,,,False,145 Redhill Close,"145 Redhill Close, Singapore 150145"
138A,ALEXANDRA ROAD,151138,ALEXANDRA PEAKS,1.29179973901251,103.819189834643,new_building,,,,,False,138A Alexandra Road,"138A Alexandra Road, Singapore 151138"
144A,REDHILL CLOSE,151144,REDHILL PEAKS,1.28553902415995,103.817610269024,new_building,,,,,False,144A Redhill Close,"144A Redhill Close, Singapore 151144"
145A,REDHILL CLOSE,151145,REDHILL PEAKS,1.28509913671953,103.816771783189,new_building,,,,,False,145A Redhill Close,"145A Redhill Close, Singapore 151145"
138B,ALEXANDRA ROAD,152138,ALEXANDRA PEAKS,1.29183800364738,103.819695828351,new_building,,,,,False,138B Alexandra Road,"138B Alexandra Road, Singapore 152138"
144B,REDHILL CLOSE,152144,REDHILL PEAKS,1.28495357587636,103.817452632353,new_building,,,,,False,144B Redhill Close,"144B Redhill Close, Singapore 152144"
21A,MACALISTER ROAD,169738,NIL,1.27914243302111,103.832428290512,new_building,,,,,False,21A Macalister Road,"21A Macalister Road, Singapore 169738"
108,DALVEY ESTATE,259529,DALVEY VILLAS,1.31653115278417,103.821564766472,new_building,,,,,False,108 Dalvey Estate,"108 Dalvey Estate, Singapore 259529"
9,BALMORAL CRESCENT,259902,NIL,1.31588568290054,103.834884193534,new_building,,,,,False,9 Balmoral Crescent,"9 Balmoral Crescent, Singapore 259902"
11,BALMORAL CRESCENT,259973,NIL,1.31592677921879,103.834934007894,new_building,,,,,False,11 Balmoral Crescent,"11 Balmoral Crescent, Singapore 259973"
13,BALMORAL CRESCENT,259974,NIL,1.31597061696877,103.834988101755,new_building,,,,,False,13 Balmoral Crescent,"13 Balmoral Crescent, Singapore 259974"
25A,NAMLY RISE,268034,SHAMROCK PARK,1.32616172909848,103.794921774517,new_building,,,,,True,Shamrock Park,"25A Namly Rise Shamrock Park, Singapore 268034"
19A,MOUNT SINAI LANE,277828,HENRY PARK,1.31593605284127,103.785506587401,new_building,,,,,True,Henry Park,"19A Mount Sinai Lane Henry Park, Singapore 277828"
147A,HOLLAND ROAD,279217,CHIP BEE GARDENS,1.31263765630535,103.797635022004,new_building,,,,,True,Chip Bee Gardens,"147A Holland Road Chip Bee Gardens, Singapore 279217"
64,KHEAM HOCK ROAD,299511,DUNEARN ESTATE,1.32998422545252,103.81997584212,new_building,,,,,False,64 Kheam Hock Road,"64 Kheam Hock Road, Singapore 299511"
18B,BERRIMA ROAD,299989,DUNEARN ESTATE,1.32452094029976,103.824387745013,new_building,,,,,False,18B Berrima Road,"18B Berrima Road, Singapore 299989"
31,BELIMBING AVENUE,349903,SENNETT ESTATE,1.33238545885591,103.875582804859,new_building,,,,,False,31 Belimbing Avenue,"31 Belimbing Avenue, Singapore 349903"
11,LYNWOOD GROVE,358656,BRADDELL HEIGHTS ESTATE,1.34702659999127,103.86263850527,new_building,,,,,False,11 Lynwood Grove,"11 Lynwood Grove, Singapore 358656"
10A,CLIFTON VALE,359975,BRADDELL HEIGHTS ESTATE,1.34598023576962,103.864128738382,new_building,,,,,False,10A Clifton Vale,"10A Clifton Vale, Singapore 359975"
2,MOUNT VERNON LANE,369572,MOUNT VERNON FUNERAL PARLOUR COMPLEX,1.33894741462754,103.876184939023,new_building,,,,,True,Mount Vernon Funeral Parlour Complex,"2 Mount Vernon Lane Mount Vernon Funeral Parlour Complex, Singapore 369572"
52A,ALJUNIED ROAD,389961,NIL,1.31582628861738,103.882036111073,new_building,,,,,False,52A Aljunied Road,"52A Aljunied Road, Singapore 389961"
31B,TANJONG RHU CLOSE,432031,TANJONG RHU PARC FRONT,1.29706799149809,103.878941429682,new_building,,,,,False,31B Tanjong Rhu Close,"31B Tanjong Rhu Close, Singapore 432031"
7,MEYER PLACE,438581,NIL,1.29909063661798,103.886364991621,new_building,,,,,False,7 Meyer Place,"7 Meyer Place, Singapore 438581"
9,MEYER PLACE,438582,NIL,1.29915109428673,103.886368258712,new_building,,,,,False,9 Meyer Place,"9 Meyer Place, Singapore 438582"
