blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters,is_non_residential,name_formatted,address_formatted
59,MARINA COASTAL DRIVE,19964,NIL,1.26797299807086,103.859122035309,new_building,,,,,False,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964"
69,SCIENCE PARK DRIVE,119317,LYNDENWOODS,1.29132682464133,103.788260858007,new_building,,,,,True,Lyndenwoods,"69 Science Park Drive Lyndenwoods, Singapore 119317"
437,CLEMENTI CLOSE,120437,CLEMENTI EMERALD,1.31664918422922,103.762051682614,new_building,,,,,False,437 Clementi Close,"437 Clementi Close, Singapore 120437"
438,CLEMENTI CLOSE,120438,CLEMENTI EMERALD,1.31729073830566,103.762656171406,new_building,,,,,False,438 Clementi Close,"438 Clementi Close, Singapore 120438"
437A,CLEMENTI CLOSE,121437,CLEMENTI EMERALD,1.31647266685186,103.762961522245,new_building,,,,,False,437A Clementi Close,"437A Clementi Close, Singapore 121437"
438A,CLEMENTI CLOSE,121438,CLEMENTI EMERALD,1.31686971326399,103.762723628508,new_building,,,,,False,438A Clementi Close,"438A Clementi Close, Singapore 121438"
437B,CLEMENTI C,122437,CLEMENTI EMERALD,1.31662373060985,103.762393868662,new_building,,,,,False,437B Clementi C,"437B Clementi C, Singapore 122437"
438B,CLEMENTI C,122438,CLEMENTI EMERALD,1.31725205617556,103.762959005306,new_building,,,,,False,438B Clementi C,"438B Clementi C, Singapore 122438"
1,ZION PROMENDADE,169564,PROMENADE PEAK,1.29157008048749,103.833142480825,new_building,,,,,False,1 Zion Promendade,"1 Zion Promendade, Singapore 169564"
598,SERANGOON ROAD,218210,NIL,1.31522075766025,103.858397109361,new_building,,,,,False,598 Serangoon Road,"598 Serangoon Road, Singapore 218210"
11,RIVER VALLEY GREEN,239637,RIVER GREEN,1.29477065384575,103.833209033497,new_building,,,,,False,11 River Valley Green,"11 River Valley Green, Singapore 239637"
90,FERNHILL ROAD,259131,LADYHILL PARK,1.31180840460684,103.823559484665,new_building,,,,,True,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131"
23A,MAPLE AVENUE,278529,EDEN PARK,1.33008416850017,103.79193660426,new_building,,,,,True,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529"
444,HOLLAND ROAD,279216,BAN GUAN PARK,1.32276118629116,103.784007423333,new_building,,,,,True,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216"
15,JALAN SEJARAH,299061,CAPITOL PARK (15),1.32922211653773,103.816939818382,new_building,,,,,True,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061"
60A,KHEAM HOCK ROAD,299165,DUNEARN ESTATE,1.32978660619863,103.820134272782,new_building,,,,,False,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165"
10,CHANCERY HILL ROAD,309651,NIL,1.32490441739295,103.839076136395,new_building,,,,,False,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651"
