blk_no,street,postal_code,name,lat,lon,change_type,location_change_meters,prev_name,prev_lat,prev_lon,is_non_residential,name_formatted,address_formatted
20A,REPUBLIC AVENUE,39969,TEMPORARY SITE OFFICE,1.29889797716708,103.862538779845,new_building,,,,,True,Temporary Site Office,"20A Republic Avenue Temporary Site Office, Singapore 39969"
395,NEW BRIDGE ROAD,89808,NIL,1.2781168258963,103.838592330193,new_building,,,,,False,395 New Bridge Road,"395 New Bridge Road, Singapore 89808"
43F,WEST COAST ROAD,129675,NIL,1.29524862504034,103.766403186296,new_building,,,,,False,43F West Coast Road,"43F West Coast Road, Singapore 129675"
43G,WEST COAST ROAD,129676,NIL,1.29522771761071,103.766352041926,new_building,,,,,False,43G West Coast Road,"43G West Coast Road, Singapore 129676"
18,TANGLIN HALT ROAD,140018,TANGLIN HALT COURTYARD,1.30005817218833,103.798353981634,new_building,,,,,True,Tanglin Halt Courtyard,"18 Tanglin Halt Road Tanglin Halt Courtyard, Singapore 140018"
17A,TANGLIN HALT ROAD,141017,TANGLIN HALT COURTYARD,1.29965100087736,103.798031741959,new_building,,,,,True,Tanglin Halt Courtyard,"17A Tanglin Halt Road Tanglin Halt Courtyard, Singapore 141017"
0598,SERANGOON ROAD,218210,NIL,1.31522075766025,103.858397109361,new_building,,,,,False,0598 Serangoon Road,"0598 Serangoon Road, Singapore 218210"
22,ORCHARD BOULEVARD,249628,UPPERHOUSE AT ORCHARD BOULEVARD,1.30199604255669,103.824015107233,new_building,,,,,False,22 Orchard Boulevard,"22 Orchard Boulevard, Singapore 249628"
118,FARRER ROAD,259384,CHIP HOCK GARDENS,1.31958470328528,103.811756490577,new_building,,,,,True,Chip Hock Gardens,"118 Farrer Road Chip Hock Gardens, Singapore 259384"
120,GALLOP PARK ROAD,259407,CHIP HOCK GARDENS,1.31964196384061,103.811694586999,new_building,,,,,True,Chip Hock Gardens,"120 Gallop Park Road Chip Hock Gardens, Singapore 259407"
46A,MOUNT SINAI ROAD,278138,HENRY PARK,1.31373356572843,103.785100137895,new_building,,,,,True,Henry Park,"46A Mount Sinai Road Henry Park, Singapore 278138"
,HOLLAND ROAD,278623,MCMAHON PARK,1.31758721213038,103.786651192385,new_building,,,,,True,Mcmahon Park,"Holland Road Mcmahon Park, Singapore 278623"
2,HOLLAND VILLAGE WAY,279035,SKYE AT HOLLAND,1.31216454554039,103.792689741396,new_building,,,,,False,2 Holland Village Way,"2 Holland Village Way, Singapore 279035"
4,HOLLAND VILLAGE WAY,279036,SKYE AT HOLLAND,1.31216454554039,103.792689741396,new_building,,,,,False,4 Holland Village Way,"4 Holland Village Way, Singapore 279036"
6,HOLLAND VILLAGE WAY,279037,SKYE AT HOLLAND,1.31216454554039,103.792689741396,new_building,,,,,False,6 Holland Village Way,"6 Holland Village Way, Singapore 279037"
2A,GROVE AVENUE,279577,HENRY PARK,1.31364859034077,103.785145149668,new_building,,,,,True,Henry Park,"2A Grove Avenue Henry Park, Singapore 279577"
,BERRIMA ROAD,299920,DUNEARN ESTATE,1.32347627957433,103.824008166083,new_building,,,,,False,Dunearn Estate,"Berrima Road, Singapore 299920"
118,MAY ROAD,320118,TOWNER BREEZE,1.32261764194216,103.857975938258,new_building,,,,,False,118 May Road,"118 May Road, Singapore 320118"
118A,MAY ROAD,321118,TOWNER BREEZE,1.3226902229318,103.858582587596,new_building,,,,,False,118A May Road,"118A May Road, Singapore 321118"
