blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters
30,FRANKEL AVENUE,458159,FRANKEL ESTATE,1.31649152130962,103.917615644331,new_building,,,,
10,CHANGI BUSINESS PARK CENTRAL 2,486030,HANSAPOINT,1.33567124394463,103.966533063663,new_building,,,,
27,SERANGOON GARDEN WAY,555938,NIL,1.36306279701175,103.870958842621,new_building,,,,
906E,UPPER THOMSON ROAD,787110,NIL,1.39771626730068,103.818593588093,new_building,,,,
906G,UPPER THOMSON ROAD,787110,NIL,1.39777402699985,103.818577230173,new_building,,,,
906E,UPPER THOMSON ROAD,787110,NIL,1.39771626730068,103.818593588093,new_building,,,,
906Q,UPPER THOMSON ROAD,787110,NIL,1.39803184173165,103.818503224074,new_building,,,,
25,GENTING ROAD,349482,AZALEA KITCHENS,1.32825733595607,103.875595756777,name_change,NIL,1.32825733595607,103.875595756777,
17,SAKRA ROAD,627886,NIL,1.26485446056716,103.704820373564,location_change,NIL,1.26103987283295,103.703700648738,442.0505910969017
1M,YONG SIAK STREET,168641,TIONG BAHRU ESTATE,1.28230406576485,103.830358561481,name_change,NIL,1.28227412452802,103.830320866261,
200,BEDOK NORTH AVENUE 1,469752,CITY SPROUTS @ BEDOK,1.32744916555918,103.927184430479,name_change,NIL,1.32744916555918,103.927184430479,
43,SILOSO BEACH WALK,99010,ALTITUDEX,1.25206377583992,103.817560514971,name_change,IFLY SINGAPORE,1.25206377583992,103.817560514971,
102,HENDERSON ROAD,159562,CITY SPROUTS @ HENDERSON,1.28448300981416,103.819240593,name_change,ECON CARE RESIDENCE (HENDERSON),1.2850820344864,103.819527090115,
130,RACE COURSE ROAD,218587,RACECOURSE ONE30,1.30971779327858,103.852223982561,name_change,NIL,1.30971779327858,103.852223982561,
2,TEMBUSU DRIVE,627621,NIL,1.26746414180234,103.672515616861,location_change,NIL,1.26501965580378,103.67463592908,359.781152105197
535,CLEMENTI ROAD,599489,NGEE ANN POLYTECHNIC (BLK 20),1.33488218597994,103.775602827183,name_change,NGEE ANN POLYTECHNIC (BLK 1),1.33351616007246,103.776976659192,
1,PULAU SEBAROK,118326,NIL,1.20980415832086,103.792634544923,location_change,NIL,1.20465206747341,103.797953699224,823.3297942699597
80,MANDAI LAKE ROAD,729826,NIGHT SAFARI,1.4052369741867,103.788323242853,name_and_location_change,GIANT PANDA FOREST,1.40365248268001,103.792498795944,496.4748645285669
50,JURONG ISLAND HIGHWAY,627877,NIL,1.28176147502858,103.718748794438,location_change,NIL,1.2805727238784,103.715853150469,347.98312654587124
2,SEAH IM ROAD,99114,BING JIN SUGAR CANE JUICE,1.26663184456522,103.819022417901,name_change,NIL,1.26674250106732,103.818958003592,
100,JURONG ISLAND HIGHWAY,627867,NIL,1.27776680299102,103.681296002911,location_change,NIL,1.26907088657711,103.69845992241,2139.089828315481
201,CHESTNUT AVENUE,679525,NIL,1.37749613665976,103.777438972627,location_change,NIL,1.37168064590228,103.779806932515,698.1761120048952
50,PUNGGOL EAST,828826,CITY SPROUTS @ PUNGGOL,1.39466481255762,103.916758955451,name_change,NIL,1.39466481255762,103.916758955451,
18,PIONEER ROAD,628498,NIL,1.31196599484918,103.686973622172,location_change,NIL,1.30776649760434,103.687179207763,467.5217164920828
33,TUAS BASIN LINK,638768,NB ASCENT,1.31531335991976,103.654123837812,name_change,NIL,1.31537474137082,103.654133466129,
1,SERAYA AVENUE,628208,NIL,1.27589242545013,103.726871135948,location_change,NIL,1.27111672941869,103.736254000329,1170.465548513613
1,MOUNT PLEASANT ROAD,298333,THOMSON POLICE COMPLEX (BLK 12 ANNEX),1.33100777832864,103.836097071897,name_change,THOMSON POLICE COMPLEX (BLK 10 ANNEX),1.33053467731909,103.836685458855,
48,ANCHORVALE CRESCENT,549936,OUTRAM SECONDARY SCHOOL,1.39775020428346,103.891230426312,name_change,OUTRAM SECONDARY SCHOOL (U/C),1.39775020428346,103.891230426312,
11,MERANTI CRESCENT,627806,NIL,1.24947679773694,103.68630054158,location_change,NIL,1.24579521073601,103.687601222492,434.1596139235719
501,OLD CHOA CHU KANG ROAD,698928,HOME TEAM ACADEMY (BLK 10),1.37187204750828,103.720870792771,name_change,HOME TEAM ACADEMY (BLK 1),1.3728276965341,103.722414544985,
111J,KING GEORGE'S AVENUE,208559,BACKPACKERS@SG,1.3103815456002,103.861757786461,name_change,NIL,1.31049262901037,103.861938319286,
15,BENOI ROAD,629888,NIL,1.29812914687591,103.677778688665,location_change,NIL,1.30411417350519,103.675670123226,705.5780258928934
